w,na ,neff,re(neff),imag(neff),loss,SA(1/RIU),rg(um)
0.72,1.36,1.446312304106454-4.478097216974127E-6i,1.446312304,4.48E-06,3.465504632,13.78695895,0.3
0.74,1.36,1.4454569797295214-6.01063453678769E-6i,1.44545698,6.01E-06,4.525786526,27.22151988,0.3
0.76,1.36,1.4446144308238178-8.837014272394278E-6i,1.444614431,8.84E-06,6.478842562,37.2564748,0.3
0.78,1.36,1.4437807741186437-1.413039989715567E-5i,1.443780774,1.41E-05,10.09404677,46.67171181,0.3
0.8,1.36,1.4429518719441303-2.4901500813514E-5i,1.442951872,2.49E-05,17.34366987,56.53607855,0.3
0.82,1.36,1.442125359618344-4.793718202079411E-5i,1.44212536,4.79E-05,32.57347636,65.76832651,0.3
0.84,1.36,1.4412997834622132-8.957024494540028E-5i,1.441299783,8.96E-05,59.41415683,70.45703785,0.3
0.86,1.36,1.440467079749157-1.9097346435366694E-4i,1.44046708,0.000190973,123.7314316,75.9193294,0.3
0.88,1.36,1.4398213682938994-4.8202519393027393E-4i,1.439821368,0.000482025,305.2056214,82.19953441,0.3
0.9,1.36,1.4393218116938984-2.6351307450491227E-4i,1.439321812,0.000263513,163.1417517,40.01529477,0.3
0.92,1.36,1.4385327350946806-1.413367265868451E-4i,1.438532735,0.000141337,85.59978301,-116.7028866,0.3
0.94,1.36,1.4377347765889938-8.992513051204234E-5i,1.437734777,8.99E-05,53.3038632,-933.4253128,0.3
0.96,1.36,1.4369451208540671-6.458299509905214E-5i,1.436945121,6.46E-05,37.48455948,-490.6259916,0.3
0.98,1.36,1.436162621983557-5.0504784214923166E-5i,1.436162622,5.05E-05,28.71520405,-331.0485802,0.3
1,1.36,1.4353850130287975-4.199111777827923E-5i,1.435385013,4.20E-05,23.39714669,-244.1672658,0.3
1.02,1.36,1.4346105581756048-3.653432683617943E-5i,1.434610558,3.65E-05,19.95751206,-190.6591341,0.3
1.04,1.36,1.4338380287514236-3.290449986975385E-5i,1.433838029,3.29E-05,17.62898943,-155.0454837,0.3
1.06,1.36,1.4330665449699806-3.044378065594094E-5i,1.433066545,3.04E-05,16.00288121,-129.8894454,0.3
1.08,1.36,1.4322954591336416-2.8775003990812904E-5i,1.432295459,2.88E-05,14.8455776,-111.2659221,0.3
1.1,1.36,1.4315242813001061-2.766946591647422E-5i,1.431524281,2.77E-05,14.01566,-96.95250271,0.3
1.12,1.36,1.43075263252892-2.698200552540662E-5i,1.430752633,2.70E-05,13.42337326,-85.6150667,0.3
1.14,1.36,1.4299802147845049-2.6616969530436668E-5i,1.429980215,2.66E-05,13.00945846,-76.41202862,0.3
1.16,1.36,1.4292067908937753-2.6509351957234207E-5i,1.429206791,2.65E-05,12.73346457,-68.78957429,0.3
